DATE,BOOMS INSPECTED,BOOMS FAULTS,BOOMS DPU,SIP1 INSPECTED,SIP1 FAULTS,SIP1 DPU,SIP1A INSPECTED,SIP1A FAULTS,SIP1A DPU,SIP2 INSPECTED,SIP2 FAULTS,SIP2 DPU,SIP3 INSPECTED,SIP3 FAULTS,SIP3 DPU,SIP4 INSPECTED,SIP4 FAULTS,SIP4 DPU,RR INSPECTED,RR FAULTS,RR DPU,UV1 INSPECTED,UV1 FAULTS,UV1 DPU,SIP5 INSPECTED,SIP5 FAULTS,SIP5 DPU,FTEST INSPECTED,FTEST FAULTS,FTEST DPU,LECREC INSPECTED,LECREC FAULTS,LECREC DPU ,CT INSPECTED ,CT FAULTS,CT DPU ,UV2 INSPECTED,UV2 FAULTS,UV2 DPU ,CABWT INSPECTED,CABWT FAULTS,CABWT DPU ,SIP6 INSPECTED,SIP6 FAULTS,SIP6 DPU,CFC INSPECTED,CFC FAULTS,CFC DPU,CABSIP INSPECTED,CABSIP FAULTS,CABSIP DPU ,UV3 INSPECTED,UV3 FAULTS ,UV3 DPU ,PRODUCTION TOTAL INSPECTIONS,PRODUCTION TOTAL FAULTS,PRODUCTION TOTAL DPU,DPDI INSPECTED,DPDI FAULTS,DPDI DPU,DVAL INSPECTED,DVAL FAULTS,DVAL DPU,DCONF INSPECTED,DCONF FAULTS,DCONF DPU,DPDI TOTAL INSPECTIONS,DPDI TOTAL FAULTS,DPDI TOTAL DPU,COMBINED INSPECTIONS,COMBINED FAULTS,COMBINED DPU INC DPDI,SIGNOUT VOLUME
Jan-25,1446,1018,0.70,1468,606,0.41,1466,620,0.42,1459,845,0.58,1461,1858,1.27,1461,1514,1.04,1451,319,0.22,1451,167,0.12,1442,2585,1.79,1440,713,0.5,1439,41,0.03,1420,1518,1.07,1415,392,0.28,1415,42,0.03,1394,3591,2.58,1384,12630,9.13,0,0,0,0,0,0,24446,28460,20.17,0,0,0,0,0,0,0,0,0,0,0,0,24446,28460,20.17,1434
Feb-25,1509,1074,0.71,1497,524,0.35,1499,441,0.29,1501,811,0.54,1499,1706,1.14,1501,1232,0.82,1497,271,0.18,1497,127,0.08,1506,2379,1.58,1505,625,0.42,1506,36,0.02,1506,1429,0.95,1510,252,0.17,1510,52,0.03,1525,3519,2.31,1527,12169,7.97,89,0,0,0,0,0,25683,26647,17.56,0,0,0,0,0,0,0,0,0,0,0,0,25683,26647,17.56,1499
Mar-25,1686,1029,0.61,1693,477,0.28,1693,469,0.28,1690,1004,0.59,1687,2034,1.21,1690,1213,0.72,1697,301,0.18,1697,113,0.07,1687,1954,1.16,1685,698,0.41,1684,15,0.01,1679,1525,0.91,1680,241,0.14,1680,69,0.04,1683,4171,2.48,1695,8613,5.08,875,0,0,0,0,0,29587,23926,14.17,0,0,0,0,0,0,0,0,0,0,0,0,29587,23926,14.17,1706
Apr-25,1672,915,0.55,1672,754,0.45,1672,485,0.29,1674,1540,0.92,1674,2079,1.24,1673,1261,0.75,1668,333,0.2,1667,124,0.07,1665,2416,1.45,1668,764,0.46,1666,9,0.01,1665,1584,0.95,1662,246,0.15,1661,41,0.02,1653,3883,2.35,1651,5936,3.6,1684,1,0,0,0,0,30023,22371,13.46,350,1037,2.96,133,5,0.04,0,0,0,483,1042,3,30506,23413,16.46,1676
May-25,1525,888,0.58,1524,1129,0.74,1530,728,0.48,1520,1201,0.79,1523,2334,1.53,1518,1425,0.94,1513,288,0.19,1514,106,0.07,1515,3337,2.2,1514,816,0.54,1516,18,0.01,1539,1958,1.27,1540,321,0.21,1541,47,0.03,1540,3947,2.56,1559,3642,2.34,1518,6,0,0,0,0,27450,22192,14.48,1585,14973,9.45,1607,111,0.07,1068,0,0,4260,15084,9.52,31710,37276,24,1501
Jun-25,1941,991,0.51,1944,1085,0.56,1943,683,0.35,1942,1645,0.85,1939,2864,1.48,1943,1856,0.96,1952,660,0.34,1952,142,0.07,1951,3511,1.8,1949,1194,0.61,1948,18,0.01,1922,2355,1.23,1922,250,0.13,1921,39,0.02,1923,4231,2.2,1925,4140,2.15,1948,1,0,0,0,0,34933,25665,13.27,1906,15717,8.25,1891,12,0.01,1888,1,0,5685,15730,8.26,40618,41395,21.53,1968
Jul-25,1247,593,0.48,1241,634,0.51,1241,395,0.32,1242,1038,0.84,1243,1502,1.21,1241,1269,1.02,1238,476,0.38,1238,101,0.08,1236,2342,1.89,1237,729,0.59,1239,6,0.00,1252,1456,1.16,1250,189,0.15,1251,48,0.04,1252,3105,2.48,1252,2518,2.01,1236,0,0,0,0,0,22350,16401,13.16,1252,10375,8.29,1266,16,0.01,1268,0,0,3786,10391,8.3,26136,26792,21.46,1214
Aug-25,1440,595,0.41,1451,740,0.51,1425,565,0.4,1427,1237,0.87,1429,1620,1.13,1426,1902,1.33,1436,504,0.35,1436,163,0.11,1450,2516,1.74,1452,777,0.54,1449,4,0.00,1441,1835,1.27,1443,309,0.21,1443,44,0.03,1426,3252,2.28,1429,3417,2.39,1438,5,0,1333,73,0.05,27196,19559,13.62,1429,11468,8.03,1401,52,0.04,1401,0,0,4231,11520,8.07,31427,31079,21.69,1422
Sep-25,1893,813,0.43,1910,863,0.45,1912,771,0.4,1909,1370,0.72,1909,1931,1.01,1912,1775,0.93,1895,427,0.23,1895,179,0.09,1888,3258,1.73,1887,900,0.48,1888,1,0.00,1894,2591,1.37,1894,323,0.17,1894,52,0.03,1907,4475,2.35,1880,4101,2.18,1910,11,0.01,1904,335,0.18,36098,24176,12.76,1892,18916,10,1912,182,0.1,1911,0,0,5715,19098,10.1,41813,43274,22.86,1917
Oct-25,365,171,0.47,359,183,0.51,357,95,0.27,360,294,0.82,360,476,1.32,359,310,0.86,354,59,0.17,353,59,0.17,353,586,1.66,353,171,0.48,354,1,0.00,317,405,1.28,313,65,0.21,311,8,0.03,300,828,2.76,300,1017,3.39,360,2,0.01,304,2,0.01,6503,4732,14.42,294,3253,11.06,287,10,0.03,286,0,0,867,3263,11.09,7370,7995,25.51,371
Nov-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
